Drift ID,Trip ID,Grid Cell ID,Site (MPA/ REF),Total Angler Hrs,total_fish_caught,cpue,ST_LatDD,ST_LonDD,End_LatDD,End_LonDD,drift_lat,drift_lon
PLM0813250801,PLT05_25,PL08,MPA,2,85,42.5,36.52421188,-121.9589,36.52153015,-121.95982,36.522871015,-121.95936
PLM0813250802,PLT05_25,PL08,MPA,2,79,39.5,36.52439117,-121.95818,36.52182007,-121.95866,36.523105619999995,-121.95841999999999
PLM0813250803,PLT05_25,PL08,MPA,2,68,34,36.52429962,-121.95954,36.5201416,-121.95894,36.522220610000005,-121.95924
PLM0813251101,PLT05_25,PL11,MPA,2,99,49.5,36.49261093,-121.95212,36.48820114,-121.95232,36.490406035,-121.95222
PLM0813251102,PLT05_25,PL11,MPA,1.904444444,68,35.70595100016475,36.4928894,-121.95085,36.48825073,-121.95105,36.490570065,-121.95095
PLM081325MN01,PLT05_25,PLMN,MPA,1.888888889,69,36.529411762557096,36.49259949,-121.95023,36.48783112,-121.9501,36.49021530500001,-121.950165
PLM0814250701,PLT06_25,PL07,MPA,3.103333333,36,11.600429646788445,36.52658081,-121.9512,36.52716064,-121.95157,36.526870724999995,-121.951385
PLM0814250702,PLT06_25,PL07,MPA,3.06,122,39.869281045751634,36.52621078,-121.95061,36.52682114,-121.95036,36.52651596,-121.950485
PLM0814250703,PLT06_25,PL07,MPA,2.843333333,66,23.21219226532382,36.52621841,-121.95065,36.52687073,-121.95021,36.52654457,-121.95043
PLM0814251201,PLT06_25,PL12,MPA,2.573333333,214,83.16062177243013,36.49085999,-121.95762,36.48783112,-121.95641,36.489345555,-121.95701500000001
PLM0814251202,PLT06_25,PL12,MPA,3.023333333,231,76.40573319475256,36.49077988,-121.95718,36.4869194,-121.95646,36.48884964,-121.95682
PLM0814251203,PLT06_25,PL12,MPA,2.833333333,181,63.88235294869204,36.49087906,-121.95737,36.48693848,-121.95744,36.488908769999995,-121.957405
PLR0722251401,PLT01_25,PL14,REF,2.933333333,10,3.4090909094783055,36.47732162,-121.94327,36.47748947,-121.94367,36.477405544999996,-121.94346999999999
PLR0722251402,PLT01_25,PL14,REF,2.908333333,19,6.532951290147044,36.47546005,-121.94418,36.47731018,-121.94542,36.476385115,-121.9448
PLR0722251403,PLT01_25,PL14,REF,2.966666667,18,6.067415729655346,36.47523117,-121.94479,36.47763824,-121.94552,36.476434705,-121.945155
PLR0722251701,PLT01_25,PL17,REF,2.983333333,12,4.022346369164508,36.46266174,-121.93197,36.46215057,-121.93178,36.462406155,-121.931875
PLR0722251702,PLT01_25,PL17,REF,3.083333333,9,2.9189189192344775,36.4629097,-121.93327,36.46200943,-121.93412,36.462459565,-121.933695
PLR0722251703,PLT01_25,PL17,REF,2.8,10,3.5714285714285716,36.46281052,-121.93245,36.46162033,-121.93287,36.462215425,-121.93266
