Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Search Time,End Search Time,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total . Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),. Seals,. Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
ANM0805251702,ANT04_25,ANM08052517,AN17,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,-1,0,0,-0.016666667,4,4,,,4,12,2.983333333,37.09931946,-122.33703,1005,080525_1005,37.09593964,-122.33241,1023,080525_1023,556,KM,MS,,,52,3,71,65,4,10,,,0,0,42,1,9,NW,3,,,,FALSE
ANM0805251703,ANT04_25,ANM08052517,AN17,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,-1,0,0,-0.016666667,4,4,,,4,12,2.983333333,37.09902954,-122.33705,1024,080525_1024,37.09531021,-122.33185,1040,080525_1040,620,KM,MS,,,52,3,52,73,4,10,,,0,0,31,1,11,NW,3,,,,FALSE
ANM0805251801,ANT04_25,ANM08052518,AN18,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,-1,0,-1,0,0,-0.033333333,4,4,,,4,12,2.966666667,37.09978104,-122.33016,915,080525_915,37.09833908,-122.32676,945,080525_945,342,KM,MS,,,51.3,3,41,53,4,10,,,0,0,43,2,9,NW,3,,,,FALSE
ANM0805251802,ANT04_25,ANM08052518,AN18,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,-1,0,-1,0,0,-0.033333333,4,4,,,4,12,2.966666667,37.09973145,-122.33,946,080525_946,37.09846878,-122.32672,964,080525_964,323,KM,MS,,,51,3,64,48,4,10,,,0,0,26,2,9,NW,3,,,,FALSE
ANM0805251803,ANT04_25,ANM08052518,AN18,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.274444444,0,-1,-1,0,0,-0.033333333,4,4,,,4,12,3.26,37.09999847,-122.33038,965,080525_965,37.09817886,-122.32629,986,080525_986,416,KM,MS,,,51,3,46,44,4,10,,,0,0,33,1,9,NW,3,,,,FALSE
ANM080525MM01,ANT04_25,ANM080525MM,ANMM,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,-0.5,-4,0,0,-0.075,4,4,,,4,12,2.925,37.11312866,-122.34844,1041,080525_1041,37.10894012,-122.34462,1053,080525_1053,575,KM,JT,,,52,2,53,53,4,10,,,0,0,22,1,11,NW,4,,,"Ended in another cell (AN14), original drift ID: ANM0805251301",FALSE
ANM0806251501,ANT05_25,ANM08062515,AN15,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,4,,,4,12,3,37.10216904,-122.34846,1183,080625_1183,37.1003418,-122.34444,1202,080625_1202,411,KM,CD,,,52,2,97,75,4,10,,,0,1,51,1,8,NW,3,,"Landon fishing as angler #11 with baited shrimp flies, Nova in the water",,FALSE
ANM0806251502,ANT05_25,ANM08062515,AN15,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,2,-5,0,0,0,-0.05,4,4,,,4,12,2.95,37.10195923,-122.34795,1203,080625_1203,37.09973907,-122.34382,1221,080625_1221,442,KM,CD,,,53,2,90,69,4,10,,,0,0,52,3,9,NW,4,,Landon fishing as angler #11 with baited shrimp flies,,FALSE
ANM0806251503,ANT05_25,ANM08062515,AN15,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.201666667,-2,0,0,0,0,-0.033333333,4,4,,,4,12,2.386666667,37.10166168,-122.34792,1222,080625_1222,37.09840012,-122.34344,1240,080625_1240,538,KM,CD,,,54,2,95,83,4,10,,,0,0,30,3,9,NW,3,,Madison fishing as angler #11 with baited shrimp flies,,FALSE
ANM0806251901,ANT05_25,ANM08062519,AN19,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,-2,0,0,0,0,-0.033333333,3,4,,,4,11,2.716666667,37.09329987,-122.32999,1115,080625_1115,37.09257126,-122.32712,1133,080625_1133,268,KM,CD,,,51,2,90,83,4,10,,,0,2,29,1,7,N,5,,,,FALSE
